0	0	0.00000000
1	1	0.00000000
0	1	0.00000000
0	2	-0.25958580
1	3	-0.15449988
0	3	-0.13326770
1	2	-0.13326770
0	4	-0.24461576
1	5	-0.15777191
0	5	-0.13681179
1	4	-0.13681179
0	6	-0.24959332
1	7	-0.16953215
0	7	-0.12867905
1	6	-0.12867905
0	8	-0.24758666
1	9	-0.15233538
0	9	-0.14313275
1	8	-0.14313275
0	10	-0.24225407
1	11	-0.16300378
0	11	-0.12710673
1	10	-0.12710673
0	12	-0.26602173
1	13	-0.15855606
0	13	-0.13266399
1	12	-0.13266399
0	14	-0.26905240
1	15	-0.15120908
0	15	-0.13318509
1	14	-0.13318509
0	16	-0.26741403
1	17	-0.16029685
0	17	-0.12600389
1	16	-0.12600389
0	18	-0.26399363
1	19	-0.15769140
0	19	-0.13029128
1	18	-0.13029128
0	20	-0.27671831
1	21	-0.17492806
0	21	-0.10646672
1	20	-0.10646672
0	22	-0.24826459
1	23	-0.15636577
0	23	-0.12770777
1	22	-0.12770777
0	24	-0.23443752
1	25	-0.16083232
0	25	-0.12309110
1	24	-0.12309110
0	26	-0.27122106
1	27	-0.13515072
0	27	-0.12287442
1	26	-0.12287442
0	28	-0.27173312
1	29	-0.13833532
0	29	-0.12129433
1	28	-0.12129433
0	30	-0.28339992
1	31	-0.14173935
0	31	-0.08914124
1	30	-0.08914124
0	32	-0.26538074
1	33	-0.16178620
0	33	-0.09391682
1	32	-0.09391682
0	34	-0.24910850
1	35	-0.17283361
0	35	-0.13539162
1	34	-0.13539162
0	36	-0.28356274
1	37	-0.08228659
0	37	-0.08239849
1	36	-0.08239849
0	38	-0.30354606
1	39	-0.14831610
0	39	-0.10072730
1	38	-0.10072730
0	40	-0.24090573
1	41	-0.10404198
0	41	-0.12259302
1	40	-0.12259302
0	42	-0.31143663
1	43	-0.11545583
0	43	-0.05187744
1	42	-0.05187744
0	44	-0.19415893
1	45	-0.14470017
0	45	-0.13785736
1	44	-0.13785736
2	2	0.00000000
3	3	0.00000000
2	3	0.00000000
2	4	-0.29201038
3	5	-0.18249110
2	5	-0.08534575
3	4	-0.08534575
2	6	-0.26128927
3	7	-0.18693123
2	7	-0.09689704
3	6	-0.09689704
2	8	-0.28063251
3	9	-0.17531844
2	9	-0.09710164
3	8	-0.09710164
2	10	-0.28979263
3	11	-0.18598431
2	11	-0.07994697
3	10	-0.07994697
2	12	-0.30050547
3	13	-0.18164306
2	13	-0.09054839
3	12	-0.09054839
2	14	-0.28732540
3	15	-0.17629325
2	15	-0.09223129
3	14	-0.09223129
2	16	-0.32417763
3	17	-0.19535498
2	17	-0.07530103
3	16	-0.07530103
2	18	-0.30428750
3	19	-0.17985438
2	19	-0.08548352
3	18	-0.08548352
2	20	-0.33556837
3	21	-0.19411119
2	21	-0.06691990
3	20	-0.06691990
2	22	-0.30627454
3	23	-0.17837168
2	23	-0.07211939
3	22	-0.07211939
2	24	-0.27262002
3	25	-0.18795430
2	25	-0.09569520
3	24	-0.09569520
2	26	-0.32344089
3	27	-0.16985347
2	27	-0.07779830
3	26	-0.07779830
2	28	-0.33665503
3	29	-0.16839998
2	29	-0.07387379
3	28	-0.07387379
2	30	-0.32051475
3	31	-0.16820919
2	31	-0.06612552
3	30	-0.06612552
2	32	-0.33147089
3	33	-0.16454732
2	33	-0.05239119
3	32	-0.05239119
2	34	-0.27486951
3	35	-0.18520758
2	35	-0.09900741
3	34	-0.09900741
2	36	-0.31509248
3	37	-0.10274708
2	37	-0.06891608
3	36	-0.06891608
2	38	-0.33731303
3	39	-0.16510586
2	39	-0.06659294
3	38	-0.06659294
2	40	-0.25845957
3	41	-0.17022778
2	41	-0.08648644
3	40	-0.08648644
2	42	-0.35969575
3	43	-0.11423334
2	43	-0.05744970
3	42	-0.05744970
2	44	-0.20885226
3	45	-0.16301404
2	45	-0.10978612
3	44	-0.10978612
4	4	0.00000000
5	5	0.00000000
4	5	0.00000000
4	6	-0.25653201
5	7	-0.17573498
4	7	-0.10959287
5	6	-0.10959287
4	8	-0.26482476
5	9	-0.16546114
4	9	-0.11806046
5	8	-0.11806046
4	10	-0.26297826
5	11	-0.16880931
4	11	-0.10515963
5	10	-0.10515963
4	12	-0.28322209
5	13	-0.17204574
4	13	-0.10751744
5	12	-0.10751744
4	14	-0.27511142
5	15	-0.16321525
4	15	-0.10979253
